fraternity_id,fraternity_name,fraternity_sorority
1,Alpha Chi Omega,Sorority
2,Alpha Delta Chi,Sorority
3,Alpha Delta Pi,Sorority
4,Alpha Epsilon Pi,Fraternity
5,Alpha Gamma Delta,Sorority
6,Alpha Iota Omicron,Fraternity
7,Alpha Iota Omicron,Fraternity
8,Alpha Kappa Alpha,Sorority
9,Alpha Kappa Alpha,Sorority
10,Alpha Omega Epsilon,Sorority
11,Alpha Phi,Sorority
12,Alpha Phi Alpha,Fraternity
13,Alpha Phi Alpha,Fraternity
14,Alpha Sigma Phi,Fraternity
15,Alpha Tau Omega,Fraternity
16,Alpha Xi Delta,Sorority
17,Beta Theta Pi,Fraternity
18,Chi Phi,Fraternity
19,Chi Psi,Fraternity
20,Delta Chi,Fraternity
21,Delta Phi Lambda,Sorority
22,Delta Phi Lambda,Sorority
23,Delta Sigma Phi,Fraternity
24,Delta Sigma Theta,Sorority
25,Delta Sigma Theta,Sorority
26,Delta Tau Delta,Fraternity
27,Delta Upsilon,Fraternity
28,Iota Phi Theta,Fraternity
29,Iota Phi Theta,Fraternity
30,Kappa Alpha Order,Fraternity
31,Kappa Alpha Psi,Fraternity
32,Kappa Alpha Psi,Fraternity
33,Kappa Sigma,Fraternity
34,Lambda Chi Alpha,Fraternity
35,Lambda Theta Alpha,Sorority
36,Lambda Theta Alpha,Sorority
37,Lambda Upsilon Lambda,Fraternity
38,Lambda Upsilon Lambda,Fraternity
39,Omega Psi Phi,Fraternity
40,Omega Psi Phi,Fraternity
41,Phi Beta Sigma,Fraternity
42,Phi Beta Sigma,Fraternity
43,Phi Delta Theta,Fraternity
44,Phi Gamma Delta,Fraternity
45,Phi Kappa Psi,Fraternity
46,Phi Kappa Sigma,Fraternity
47,Phi Kappa Tau,
48,Phi Kappa Theta,Fraternity
49,Phi Mu,Sorority
50,Phi Sigma Kappa,Fraternity
51,Pi Kappa Alpha,Fraternity
52,Pi Kappa Phi,Fraternity
53,Psi Upsilon,Fraternity
54,Sigma Alpha Epsilon,Fraternity
55,Sigma Beta Rho,Fraternity
56,Sigma Beta Rho,Fraternity
57,Sigma Chi,Fraternity
58,Sigma Gamma Rho,Sorority
59,Sigma Gamma Rho,Sorority
60,Sigma Nu,Fraternity
61,Sigma Phi Epsilon,Fraternity
62,Sigma Pi,Fraternity
63,Sigma Sigma Rho,Sorority
64,Sigma Sigma Rho,Sorority
65,Tau Kappa Epsilon,Fraternity
66,Theta Chi,Fraternity
67,Theta Xi,Fraternity
68,Triangle Fraternity,Fraternity
69,Xi Kappa,Fraternity
70,Xi Kappa,Fraternity
71,Zeta Beta Tau,Fraternity
72,Zeta Phi Beta,Sorority
73,Zeta Phi Beta,Sorority
74,Zeta Tau Alpha,Sorority
